r,g,b,ordem,hex,completitionYear
255,251,212,1,#FFFBD4,1467
238,213,171,83,#EED5AB,1467
202,141,107,94,#CA8D6B,1467
211,176,140,95,#D3B08C,1467
124,97,86,97,#7C6156,1467
151,119,101,99,#977765,1467
171,149,126,100,#AB957E,1467
94,77,73,103,#5E4D49,1467
73,60,61,104,#493C3D,1467
53,37,37,104,#352525,1467
225,198,171,83,#E1C6AB,1468
195,148,122,94,#C3947A,1468
207,173,145,95,#CFAD91,1468
170,123,104,99,#AA7B68,1468
98,76,71,103,#624C47,1468
64,46,42,104,#402E2A,1468
140,141,146,107,#8C8D92,1468
187,188,184,109,#BBBCB8,1468
238,220,199,110,#EEDCC7,1468
123,104,101,116,#7B6865,1468
235,202,167,83,#EBCAA7,1469
208,164,110,88,#D0A46E,1469
173,119,70,96,#AD7746,1469
149,140,139,100,#958C8B,1469
132,82,53,102,#845235,1469
112,33,22,103,#702116,1469
91,93,120,106,#5B5D78,1469
222,215,218,110,#DED7DA,1469
10,8,8,119,#0A0808,1469
46,28,24,119,#2E1C18,1469
243,240,227,1,#F3F0E3,1470
155,36,34,20,#9B2422,1470
198,100,67,87,#C66443,1470
205,168,118,88,#CDA876,1470
140,119,95,99,#8C775F,1470
146,149,140,100,#92958C,1470
108,84,62,101,#6C543E,1470
66,55,48,104,#423730,1470
212,201,169,109,#D4C9A9,1470
27,20,17,119,#1B1411,1470
226,231,251,0,#E2E7FB,1473
163,114,66,96,#A37242,1473
132,111,104,99,#846F68,1473
157,143,135,100,#9D8F87,1473
108,69,52,101,#6C4534,1473
66,32,23,104,#422017,1473
215,185,182,109,#D7B9B6,1473
185,216,205,112,#B9D8CD,1473
165,172,183,113,#A5ACB7,1473
21,8,8,119,#150808,1473
159,25,9,20,#9F1909,1474
227,183,155,84,#E3B79B,1474
201,158,111,88,#C99E6F,1474
181,132,55,93,#B58437,1474
183,121,100,94,#B77964,1474
131,86,53,102,#835635,1474
85,58,42,104,#553A2A,1474
133,141,124,107,#858D7C,1474
180,182,169,114,#B4B6A9,1474
29,28,20,119,#1D1C14,1474
144,55,33,78,#903721,1475
181,138,85,94,#B58A55,1475
208,188,161,95,#D0BCA1,1475
194,167,135,95,#C2A787,1475
125,92,62,97,#7D5C3E,1475
142,119,103,99,#8E7767,1475
