r,g,b,ordem,hex,completitionYear
251,247,227,1,#FBF7E3,1922
247,236,202,1,#F7ECCA,1922
225,153,69,89,#E19945,1922
200,135,66,93,#C88742,1922
150,113,84,96,#967154,1922
183,148,151,100,#B79497,1922
109,80,56,101,#6D5038,1922
78,51,35,104,#4E3323,1922
212,178,178,109,#D4B2B2,1922
236,208,188,110,#ECD0BC,1922
255,255,255,0,#FFFFFF,1926
161,81,60,78,#A1513C,1926
248,211,138,83,#F8D38A,1926
234,169,106,90,#EAA96A,1926
209,137,88,94,#D18958,1926
113,90,85,98,#715A55,1926
105,60,50,103,#693C32,1926
59,36,34,104,#3B2422,1926
81,46,41,104,#512E29,1926
43,27,26,119,#2B1B1A,1926
242,218,164,83,#F2DAA4,1927
212,176,131,95,#D4B083,1927
161,101,75,96,#A1654B,1927
171,140,110,99,#AB8C6E,1927
109,84,71,101,#6D5447,1927
79,54,49,104,#4F3631,1927
154,154,147,108,#9A9A93,1927
218,220,207,110,#DADCCF,1927
126,112,101,116,#7E7065,1927
52,32,31,119,#34201F,1927
254,246,223,1,#FEF6DF,1928
87,85,63,72,#57553F,1928
169,86,57,78,#A95639,1928
238,205,128,83,#EECD80,1928
202,107,70,87,#CA6B46,1928
226,173,99,90,#E2AD63,1928
130,120,88,99,#827858,1928
36,45,40,104,#242D28,1928
189,171,152,108,#BDAB98,1928
227,215,191,110,#E3D7BF,1928
59,82,94,40,#3B525E,1929
228,176,99,90,#E4B063,1929
200,147,76,94,#C8934C,1929
148,127,87,96,#947F57,1929
162,147,145,100,#A29391,1929
105,84,59,101,#69543B,1929
41,40,38,104,#292826,1929
204,194,188,109,#CCC2BC,1929
220,229,236,111,#DCE5EC,1929
119,114,117,116,#777275,1929
246,249,243,0,#F6F9F3,1930
216,174,152,84,#D8AE98,1930
205,174,99,88,#CDAE63,1930
160,137,87,96,#A08957,1930
121,94,54,97,#795E36,1930
58,62,58,104,#3A3E3A,1930
223,212,201,110,#DFD4C9,1930
171,181,168,114,#ABB5A8,1930
70,97,111,117,#46616F,1930
28,31,26,119,#1C1F1A,1930
241,236,221,1,#F1ECDD,1931
231,208,146,83,#E7D092,1931
193,125,77,87,#C17D4D,1931
229,172,109,90,#E5AC6D,1931
190,165,116,94,#BEA574,1931
149,103,61,96,#95673D,1931
102,74,61,101,#664A3D,1931
68,48,39,104,#443027,1931
125,124,135,107,#7D7C87,1931
169,167,182,114,#A9A7B6,1931
125,130,187,35,#7D82BB,1932
191,157,117,94,#BF9D75,1932
206,188,155,95,#CEBC9B,1932
169,99,59,96,#A9633B,1932
111,95,86,98,#6F5F56,1932
146,132,120,99,#928478,1932
84,57,44,104,#54392C,1932
49,36,31,104,#31241F,1932
227,213,198,110,#E3D5C6,1932
169,171,205,113,#A9ABCD,1932
191,143,88,94,#BF8F58,1933
196,176,159,95,#C4B09F,1933
168,110,58,96,#A86E3A,1933
115,95,75,97,#735F4B,1933
156,141,137,100,#9C8D89,1933
89,68,51,103,#594433,1933
54,44,35,104,#362C23,1933
130,120,113,107,#827871,1933
217,199,185,109,#D9C7B9,1933
227,217,220,110,#E3D9DC,1933
217,125,43,12,#D97D2B,1935
181,41,11,19,#B5290B,1935
209,175,115,88,#D1AF73,1935
165,89,41,102,#A55929,1935
67,45,34,104,#432D22,1935
171,166,167,108,#ABA6A7,1935
196,187,225,112,#C4BBE1,1935
124,115,112,116,#7C7370,1935
76,76,90,118,#4C4C5A,1935
10,12,10,119,#0A0C0A,1935
255,255,235,0,#FFFFEB,1936
205,91,48,14,#CD5B30,1936
158,79,49,78,#9E4F31,1936
124,57,39,78,#7C3927,1936
223,132,68,87,#DF8444,1936
202,170,146,95,#CAAA92,1936
173,125,94,96,#AD7D5E,1936
90,45,33,104,#5A2D21,1936
223,205,188,110,#DFCDBC,1936
36,27,23,119,#241B17,1936
244,239,235,1,#F4EFEB,1937
125,140,179,35,#7D8CB3,1937
212,136,70,93,#D48846,1937
207,179,138,95,#CFB38A,1937
152,105,54,96,#986936,1937
164,142,118,99,#A48E76,1937
94,64,42,103,#5E402A,1937
96,101,91,106,#60655B,1937
223,212,186,110,#DFD4BA,1937
41,35,28,119,#29231C,1937
199,127,80,87,#C77F50,1938
200,177,132,95,#C8B184,1938
153,101,53,96,#996535,1938
134,126,93,99,#867E5D,1938
102,74,48,101,#664A30,1938
48,41,30,104,#30291E,1938
152,156,160,108,#989CA0,1938
194,191,190,109,#C2BFBE,1938
227,224,218,110,#E3E0DA,1938
96,97,133,116,#606185,1938
248,246,221,1,#F8F6DD,1939
198,137,69,93,#C68945,1939
196,179,120,95,#C4B378,1939
148,104,59,96,#94683B,1939
143,134,111,99,#8F866F,1939
108,71,48,101,#6C4730,1939
69,49,38,104,#453126,1939
167,171,162,108,#A7ABA2,1939
210,212,194,110,#D2D4C2,1939
108,105,106,116,#6C696A,1939
235,226,215,1,#EBE2D7,1940
225,181,79,90,#E1B54F,1940
203,135,87,94,#CB8757,1940
180,105,47,96,#B4692F,1940
122,94,55,97,#7A5E37,1940
137,124,100,99,#897C64,1940
181,163,140,100,#B5A38C,1940
82,64,44,104,#52402C,1940
214,204,176,109,#D6CCB0,1940
39,34,27,119,#27221B,1940
233,227,224,1,#E9E3E0,1941
95,93,73,72,#5F5D49,1941
211,174,110,88,#D3AE6E,1941
216,141,56,93,#D88D38,1941
175,147,92,94,#AF935C,1941
141,111,66,96,#8D6F42,1941
80,60,46,104,#503C2E,1941
122,140,151,107,#7A8C97,1941
202,191,180,109,#CABFB4,1941
34,37,28,119,#22251C,1941
248,245,226,1,#F8F5E2,1942
116,109,84,75,#746D54,1942
198,161,71,93,#C6A147,1942
202,182,130,95,#CAB682,1942
174,126,54,96,#AE7E36,1942
155,147,114,99,#9B9372,1942
130,90,33,102,#825A21,1942
70,59,44,104,#463B2C,1942
205,196,167,109,#CDC4A7,1942
34,29,24,119,#221D18,1942
245,238,213,1,#F5EED5,1943
104,98,51,72,#686233,1943
229,206,154,83,#E5CE9A,1943
207,108,48,87,#CF6C30,1943
232,162,83,89,#E8A253,1943
170,140,80,94,#AA8C50,1943
200,173,123,95,#C8AD7B,1943
150,86,45,102,#96562D,1943
91,54,30,103,#5B361E,1943
37,38,24,119,#252618,1943
243,240,240,0,#F3F0F0,1944
84,88,135,41,#545887,1944
159,80,41,78,#9F5029,1944
211,125,22,93,#D37D16,1944
161,113,83,96,#A17153,1944
182,147,130,100,#B69382,1944
120,75,62,101,#784B3E,1944
88,50,43,104,#58322B,1944
216,198,183,109,#D8C6B7,1944
38,21,32,119,#261520,1944
211,166,109,88,#D3A66D,1945
185,126,67,93,#B97E43,1945
140,117,98,99,#8C7562,1945
170,153,120,100,#AA9978,1945
110,83,61,101,#6E533D,1945
152,83,50,102,#985332,1945
82,54,38,104,#523626,1945
184,176,161,108,#B8B0A1,1945
222,213,202,110,#DED5CA,1945
48,33,26,119,#30211A,1945
232,233,225,1,#E8E9E1,1946
229,222,169,2,#E5DEA9,1946
147,41,26,78,#93291A,1946
196,172,117,95,#C4AC75,1946
164,125,70,96,#A47D46,1946
114,90,60,101,#725A3C,1946
65,53,41,104,#413529,1946
111,135,146,107,#6F8792,1946
162,182,189,113,#A2B6BD,1946
29,26,20,119,#1D1A14,1946
246,232,219,1,#F6E8DB,1947
238,222,172,2,#EEDEAC,1947
236,211,131,3,#ECD383,1947
179,76,50,18,#B34C32,1947
223,175,82,90,#DFAF52,1947
194,138,69,93,#C28A45,1947
143,116,72,96,#8F7448,1947
186,168,125,100,#BAA87D,1947
104,72,49,101,#684831,1947
61,37,29,104,#3D251D,1947
243,236,221,1,#F3ECDD,1948
200,128,69,93,#C88045,1948
191,174,146,95,#BFAE92,1948
164,98,62,96,#A4623E,1948
147,125,93,99,#937D5D,1948
171,150,121,100,#AB9679,1948
123,86,59,102,#7B563B,1948
75,46,35,104,#4B2E23,1948
209,196,171,109,#D1C4AB,1948
225,217,196,110,#E1D9C4,1948
222,206,168,83,#DECEA8,1949
189,130,66,93,#BD8242,1949
188,149,95,94,#BC955F,1949
207,176,124,95,#CFB07C,1949
146,119,73,96,#927749,1949
116,91,60,101,#745B3C,1949
158,86,47,102,#9E562F,1949
88,62,36,103,#583E24,1949
224,223,207,110,#E0DFCF,1949
46,36,30,119,#2E241E,1949
242,230,205,1,#F2E6CD,1951
47,75,126,40,#2F4B7E,1951
215,169,91,88,#D7A95B,1951
195,130,69,93,#C38245,1951
206,162,33,93,#CEA221,1951
226,196,142,95,#E2C48E,1951
132,117,95,99,#84755F,1951
155,95,48,102,#9B5F30,1951
100,66,39,103,#644227,1951
45,32,18,119,#2D2012,1951
199,103,11,12,#C7670B,1952
134,135,176,35,#8687B0,1952
71,81,128,41,#475180,1952
30,83,34,69,#1E5322,1952
92,134,114,76,#5C8672,1952
206,153,83,94,#CE9953,1952
225,208,142,95,#E1D08E,1952
139,102,46,102,#8B662E,1952
97,55,33,103,#613721,1952
221,214,227,110,#DDD6E3,1952
233,243,218,1,#E9F3DA,1953
220,107,48,12,#DC6B30,1953
222,170,71,93,#DEAA47,1953
195,137,88,94,#C38958,1953
208,189,150,95,#D0BD96,1953
153,132,85,96,#998455,1953
169,91,58,96,#A95B3A,1953
116,102,62,97,#74663E,1953
89,60,42,103,#593C2A,1953
42,30,26,119,#2A1E1A,1953
238,231,233,1,#EEE7E9,1954
239,202,67,6,#EFCA43,1954
186,98,60,18,#BA623C,1954
194,145,85,94,#C29155,1954
200,171,131,95,#C8AB83,1954
146,115,84,96,#927354,1954
145,141,156,100,#918D9C,1954
114,80,60,101,#72503C,1954
65,46,37,104,#412E25,1954
198,195,187,109,#C6C3BB,1954
