r,g,b,ordem,hex,completitionYear
249,249,249,0,#F9F9F9,1895
63,63,63,104,#3F3F3F,1895
131,131,131,107,#838383,1895
158,158,158,108,#9E9E9E,1895
187,187,187,109,#BBBBBB,1895
221,221,221,110,#DDDDDD,1895
107,107,107,116,#6B6B6B,1895
86,86,86,117,#565656,1895
37,37,37,119,#252525,1895
11,11,11,119,#0B0B0B,1895
233,230,241,1,#E9E6F1,1898
106,86,64,101,#6A5640,1898
53,46,47,104,#352E2F,1898
78,70,69,104,#4E4645,1898
101,92,94,106,#655C5E,1898
122,118,123,107,#7A767B,1898
152,149,151,108,#989597,1898
205,194,210,112,#CDC2D2,1898
178,171,179,114,#B2ABB3,1898
18,18,18,119,#121212,1898
206,88,58,14,#CE583A,1899
134,146,182,35,#8692B6,1899
71,90,111,40,#475A6F,1899
142,65,47,78,#8E412F,1899
197,166,139,95,#C5A68B,1899
156,130,94,99,#9C825E,1899
133,99,71,102,#856347,1899
80,62,49,104,#503E31,1899
219,210,211,110,#DBD2D3,1899
36,25,17,119,#241911,1899
135,137,160,35,#8789A0,1900
215,131,59,93,#D7833B,1900
114,100,88,98,#726458,1900
168,151,122,100,#A8977A,1900
163,92,37,102,#A35C25,1900
100,46,29,103,#642E1D,1900
69,60,58,104,#453C3A,1900
191,190,195,109,#BFBEC3,1900
232,221,223,110,#E8DDDF,1900
51,22,17,119,#331611,1900
120,139,165,35,#788BA5,1902
80,83,42,72,#50532A,1902
101,100,53,72,#656435,1902
125,124,75,75,#7D7C4B,1902
183,181,124,95,#B7B57C,1902
62,66,29,104,#3E421D,1902
106,127,149,107,#6A7F95,1902
139,157,180,115,#8B9DB4,1902
94,114,126,116,#5E727E,1902
45,43,14,119,#2D2B0E,1902
35,108,182,42,#236CB6,1903
87,121,170,44,#5779AA,1903
26,74,147,52,#1A4A93,1903
102,94,86,98,#665E56,1903
147,130,120,99,#938278,1903
69,66,54,104,#454236,1903
229,223,198,110,#E5DFC6,1903
179,173,174,114,#B3ADAE,1903
38,38,23,119,#262617,1903
11,8,6,119,#0B0806,1903
199,67,31,18,#C7431F,1904
146,199,218,46,#92C7DA,1904
215,189,67,92,#D7BD43,1904
191,159,114,94,#BF9F72,1904
215,196,165,95,#D7C4A5,1904
146,113,74,96,#92714A,1904
89,67,42,103,#59432A,1904
107,133,142,107,#6B858E,1904
207,225,229,111,#CFE1E5,1904
35,26,16,119,#231A10,1904
255,251,246,0,#FFFBF6,1905
252,232,182,2,#FCE8B6,1905
222,205,80,92,#DECD50,1905
198,144,69,93,#C69045,1905
187,165,110,94,#BBA56E,1905
227,199,139,95,#E3C78B,1905
143,126,77,96,#8F7E4D,1905
120,90,42,101,#785A2A,1905
65,54,49,104,#413631,1905
56,24,12,119,#38180C,1905
238,228,201,1,#EEE4C9,1906
214,193,105,90,#D6C169,1906
170,147,63,93,#AA933F,1906
131,113,110,99,#83716E,1906
180,156,123,100,#B49C7B,1906
118,88,62,101,#76583E,1906
92,69,35,103,#5C4523,1906
57,42,24,104,#392A18,1906
220,207,174,109,#DCCFAE,1906
163,174,186,113,#A3AEBA,1906
223,183,55,9,#DFB737,1907
170,150,104,94,#AA9668,1907
197,186,158,95,#C5BA9E,1907
145,122,54,96,#917A36,1907
105,93,57,101,#695D39,1907
68,64,40,104,#444028,1907
217,213,200,110,#D9D5C8,1907
148,159,149,115,#949F95,1907
121,116,99,116,#797463,1907
32,29,19,119,#201D13,1907
237,216,181,2,#EDD8B5,1908
162,58,28,78,#A23A1C,1908
225,175,70,90,#E1AF46,1908
183,134,93,94,#B7865D,1908
210,177,141,95,#D2B18D,1908
157,110,63,96,#9D6E3F,1908
101,73,46,101,#65492E,1908
151,149,161,108,#9795A1,1908
114,109,108,116,#726D6C,1908
55,36,21,119,#372415,1908
122,132,164,35,#7A84A4,1909
237,175,112,90,#EDAF70,1909
168,111,79,96,#A86F4F,1909
152,132,115,99,#988473,1909
185,155,134,100,#B99B86,1909
144,79,44,102,#904F2C,1909
66,62,50,104,#423E32,1909
102,96,100,106,#666064,1909
211,195,187,109,#D3C3BB,1909
36,25,16,119,#241910,1909
214,117,33,12,#D67521,1910
211,48,19,17,#D33013,1910
49,105,143,41,#31698F,1910
21,57,179,43,#1539B3,1910
75,116,204,44,#4B74CC,1910
102,169,202,45,#66A9CA,1910
151,105,89,77,#976959,1910
171,150,158,100,#AB969E,1910
57,40,66,104,#392842,1910
177,188,218,112,#B1BCDA,1910
236,234,231,1,#ECEAE7,1911
55,70,128,41,#374680,1911
58,108,185,44,#3A6CB9,1911
109,148,209,45,#6D94D1,1911
138,56,57,78,#8A3839,1911
226,116,94,87,#E2745E,1911
151,143,133,100,#978F85,1911
49,39,46,104,#31272E,1911
181,182,185,113,#B5B6B9,1911
96,102,129,116,#606681,1911
237,236,231,1,#EDECE7,1912
210,179,120,95,#D2B378,1912
163,138,118,99,#A38A76,1912
135,112,95,99,#87705F,1912
177,158,143,100,#B19E8F,1912
100,81,65,101,#645141,1912
61,43,29,104,#3D2B1D,1912
207,196,177,109,#CFC4B1,1912
210,220,206,110,#D2DCCE,1912
191,176,162,114,#BFB0A2,1912
200,149,90,94,#C8955A,1913
210,180,143,95,#D2B48F,1913
142,122,93,99,#8E7A5D,1913
157,143,125,100,#9D8F7D,1913
185,160,128,100,#B9A080,1913
105,92,69,101,#695C45,1913
62,54,34,104,#3E3622,1913
178,169,160,108,#B2A9A0,1913
207,193,180,109,#CFC1B4,1913
231,219,204,110,#E7DBCC,1913
239,236,231,1,#EFECE7,1914
