r,g,b,ordem,hex,completitionYear
236,220,186,2,#ECDCBA,1890
229,184,55,9,#E5B837,1890
204,140,96,94,#CC8C60,1890
203,165,128,95,#CBA580,1890
176,126,87,96,#B07E57,1890
164,110,70,96,#A46E46,1890
113,93,78,98,#715D4E,1890
115,69,42,101,#73452A,1890
145,92,54,102,#915C36,1890
70,47,36,104,#462F24,1890
201,144,76,94,#C9904C,1893
204,178,144,95,#CCB290,1893
183,103,31,96,#B7671F,1893
120,112,92,97,#78705C,1893
162,153,134,100,#A29986,1893
120,79,26,101,#784F1A,1893
153,91,24,102,#995B18,1893
92,56,15,103,#5C380F,1893
132,134,123,107,#84867B,1893
53,29,9,119,#351D09,1893
118,134,118,76,#768676,1895
160,78,28,78,#A04E1C,1895
226,199,71,92,#E2C747,1895
183,182,143,95,#B7B68F,1895
173,121,43,96,#AD792B,1895
155,129,86,96,#9B8156,1895
104,58,25,101,#683A19,1895
69,77,67,104,#454D43,1895
216,218,192,110,#D8DAC0,1895
37,20,13,119,#25140D,1895
176,25,17,19,#B01911,1896
208,146,95,88,#D0925F,1896
185,104,46,96,#B9682E,1896
154,119,90,96,#9A775A,1896
99,85,71,101,#635547,1896
126,70,31,102,#7E461F,1896
73,41,31,104,#49291F,1896
186,167,155,108,#BAA79B,1896
221,212,205,110,#DDD4CD,1896
34,15,13,119,#220F0D,1896
246,242,237,1,#F6F2ED,1897
99,97,78,72,#63614E,1897
176,169,98,73,#B0A962,1897
226,190,82,90,#E2BE52,1897
137,131,73,96,#898349,1897
135,132,106,99,#87846A,1897
58,58,48,104,#3A3A30,1897
167,170,149,108,#A7AA95,1897
224,212,197,110,#E0D4C5,1897
24,27,26,119,#181B1A,1897
244,229,164,2,#F4E5A4,1898
179,134,52,93,#B38634,1898
199,162,85,94,#C7A255,1898
212,189,124,95,#D4BD7C,1898
154,135,81,96,#9A8751,1898
126,103,46,102,#7E672E,1898
92,71,27,103,#5C471B,1898
189,223,223,111,#BDDFDF,1898
26,9,4,119,#1A0904,1898
60,36,12,119,#3C240C,1898
51,85,94,40,#33555E,1899
78,122,134,41,#4E7A86,1899
201,163,105,88,#C9A369,1899
221,202,147,95,#DDCA93,1899
179,122,82,96,#B37A52,1899
116,95,77,97,#745F4D,1899
144,138,122,99,#908A7A,1899
62,62,59,104,#3E3E3B,1899
217,216,203,110,#D9D8CB,1899
29,35,40,119,#1D2328,1899
42,65,117,40,#2A4175,1900
145,56,27,78,#91381B,1900
205,170,112,88,#CDAA70,1900
175,111,63,96,#AF6F3F,1900
97,85,68,101,#615544,1900
59,50,46,104,#3B322E,1900
159,159,158,108,#9F9F9E,1900
224,217,202,110,#E0D9CA,1900
118,117,110,116,#76756E,1900
26,20,20,119,#1A1414,1900
62,91,107,40,#3E5B6B,1901
156,72,26,78,#9C481A,1901
192,142,45,93,#C08E2D,1901
187,167,106,94,#BBA76A,1901
195,193,162,95,#C3C1A2,1901
124,112,69,97,#7C7045,1901
73,64,47,104,#49402F,1901
119,143,143,107,#778F8F,1901
223,225,207,110,#DFE1CF,1901
31,30,25,119,#1F1E19,1901
63,90,101,40,#3F5A65,1902
71,127,151,41,#477F97,1902
194,165,105,94,#C2A569,1902
213,202,152,95,#D5CA98,1902
152,123,61,96,#987B3D,1902
84,75,54,103,#544B36,1902
37,38,41,104,#252629,1902
122,131,117,107,#7A8375,1902
219,223,206,110,#DBDFCE,1902
144,169,170,115,#90A9AA,1902
52,79,94,40,#344F5E,1903
53,121,149,41,#357995,1903
113,169,191,45,#71A9BF,1903
203,175,120,95,#CBAF78,1903
168,128,72,96,#A88048,1903
110,80,51,101,#6E5033,1903
123,134,133,107,#7B8685,1903
205,196,167,109,#CDC4A7,1903
217,228,220,110,#D9E4DC,1903
36,34,33,119,#242221,1903
71,87,125,41,#47577D,1904
188,136,76,94,#BC884C,1904
209,178,126,95,#D1B27E,1904
131,85,47,102,#83552F,1904
53,59,68,104,#353B44,1904
103,104,96,106,#676860,1904
125,137,140,107,#7D898C,1904
228,218,194,110,#E4DAC2,1904
165,179,177,114,#A5B3B1,1904
38,30,27,119,#261E1B,1904
165,64,33,78,#A54021,1905
187,123,68,93,#BB7B44,1905
193,165,125,95,#C1A57D,1905
221,204,166,95,#DDCCA6,1905
143,125,99,99,#8F7D63,1905
97,80,62,103,#61503E,1905
47,38,35,104,#2F2623,1905
228,226,207,110,#E4E2CF,1905
146,164,176,114,#92A4B0,1905
98,110,124,116,#626E7C,1905
171,88,43,78,#AB582B,1906
213,168,118,88,#D5A876,1906
193,138,77,94,#C18A4D,1906
209,190,161,95,#D1BEA1,1906
113,59,32,101,#713B20,1906
138,106,71,102,#8A6A47,1906
142,140,128,107,#8E8C80,1906
235,227,207,110,#EBE3CF,1906
76,84,91,118,#4C545B,1906
48,31,25,119,#301F19,1906
62,111,137,41,#3E6F89,1907
155,66,20,78,#9B4214,1907
201,130,52,93,#C98234,1907
208,181,126,95,#D0B57E,1907
116,103,75,97,#74674B,1907
158,137,103,99,#9E8967,1907
79,69,48,104,#4F4530,1907
229,218,194,110,#E5DAC2,1907
150,171,176,114,#96ABB0,1907
44,30,17,119,#2C1E11,1907
236,234,218,1,#ECEADA,1908
84,136,148,44,#548894,1908
111,104,76,75,#6F684C,1908
186,128,51,93,#BA8033,1908
177,150,108,94,#B1966C,1908
149,80,31,102,#95501F,1908
87,54,28,104,#57361C,1908
58,73,62,104,#3A493E,1908
196,189,165,109,#C4BDA5,1908
35,25,16,119,#231910,1908
93,88,70,72,#5D5846,1909
208,169,103,88,#D0A967,1909
178,120,72,96,#B27848,1909
126,112,91,97,#7E705B,1909
140,141,120,99,#8C8D78,1909
141,77,25,102,#8D4D19,1909
71,58,40,104,#473A28,1909
184,171,148,108,#B8AB94,1909
215,203,184,109,#D7CBB8,1909
39,27,18,119,#271B12,1909
252,248,235,1,#FCF8EB,1910
177,132,82,94,#B18452,1910
147,106,47,96,#936A2F,1910
120,99,81,97,#786351,1910
146,126,111,99,#927E6F,1910
190,159,130,100,#BE9F82,1910
103,79,55,101,#674F37,1910
75,57,37,104,#4B3925,1910
216,196,173,109,#D8C4AD,1910
42,28,18,119,#2A1C12,1910
239,236,234,1,#EFECEA,1911
226,210,170,83,#E2D2AA,1911
223,171,80,88,#DFAB50,1911
192,169,141,95,#C0A98D,1911
157,108,55,96,#9D6C37,1911
115,101,76,97,#73654C,1911
162,138,100,99,#A28A64,1911
92,72,44,103,#5C482C,1911
60,46,25,104,#3C2E19,1911
30,20,10,119,#1E140A,1911
244,239,226,1,#F4EFE2,1912
75,123,137,41,#4B7B89,1912
148,72,27,78,#94481B,1912
193,130,59,93,#C1823B,1912
197,175,134,95,#C5AF86,1912
127,103,70,97,#7F6746,1912
158,137,106,99,#9E896A,1912
81,63,40,104,#513F28,1912
224,210,174,110,#E0D2AE,1912
40,22,13,119,#28160D,1912
193,125,49,93,#C17D31,1913
190,160,106,94,#BEA06A,1913
208,193,155,95,#D0C19B,1913
139,118,71,96,#8B7647,1913
144,77,30,102,#904D1E,1913
80,59,34,104,#503B22,1913
132,146,134,107,#849286,1913
231,222,196,110,#E7DEC4,1913
85,95,87,117,#555F57,1913
34,23,15,119,#22170F,1913
239,237,225,1,#EFEDE1,1914
188,119,46,93,#BC772E,1914
207,179,119,95,#CFB377,1914
159,149,121,100,#9F9579,1914
133,93,44,102,#855D2C,1914
91,59,26,103,#5B3B1A,1914
58,75,69,104,#3A4B45,1914
210,203,178,109,#D2CBB2,1914
101,117,103,116,#657567,1914
35,30,20,119,#231E14,1914
224,28,6,17,#E01C06,1915
43,127,141,53,#2B7F8D,1915
160,56,33,78,#A03821,1915
193,133,76,94,#C1854C,1915
206,197,145,95,#CEC591,1915
117,91,61,101,#755B3D,1915
46,52,34,104,#2E3422,1915
133,148,127,107,#85947F,1915
229,222,191,110,#E5DEBF,1915
3,9,8,119,#030908,1915
240,225,215,1,#F0E1D7,1916
224,197,172,83,#E0C5AC,1916
195,151,83,94,#C39753,1916
