r,g,b,ordem,hex,completitionYear
107,62,167,38,#6B3EA7,1954
99,215,59,65,#63D73B,1954
86,182,45,66,#56B62D,1954
74,146,36,68,#4A9224,1954
56,104,24,69,#386818,1954
114,124,144,107,#727C90,1954
179,199,200,112,#B3C7C8,1954
161,176,184,113,#A1B0B8,1954
131,164,168,115,#83A4A8,1954
25,54,8,119,#193608,1954
246,248,235,1,#F6F8EB,1955
234,235,220,1,#EAEBDC,1955
239,154,176,29,#EF9AB0,1955
31,106,141,52,#1F6A8D,1955
124,146,94,74,#7C925E,1955
156,78,59,78,#9C4E3B,1955
201,112,112,86,#C97070,1955
239,191,80,92,#EFBF50,1955
57,50,39,104,#393227,1955
166,174,163,108,#A6AEA3,1955
246,243,241,0,#F6F3F1,1956
244,236,230,1,#F4ECE6,1956
64,75,93,40,#404B5D,1956
84,98,131,41,#546283,1956
102,130,189,44,#6682BD,1956
84,107,168,44,#546BA8,1956
114,132,104,76,#728468,1956
135,142,154,107,#878E9A,1956
204,205,209,111,#CCCDD1,1956
154,169,193,113,#9AA9C1,1956
254,252,249,0,#FEFCF9,1958
238,233,227,1,#EEE9E3,1958
153,53,27,78,#99351B,1958
199,149,56,93,#C79538,1958
61,62,54,104,#3D3E36,1958
99,98,97,106,#636261,1958
142,139,137,107,#8E8B89,1958
215,211,205,110,#D7D3CD,1958
183,178,172,114,#B7B2AC,1958
23,18,21,119,#171215,1958
241,233,215,1,#F1E9D7,1960
221,181,48,9,#DDB530,1960
99,91,65,72,#635B41,1960
148,47,22,78,#942F16,1960
201,117,102,87,#C97566,1960
192,168,125,95,#C0A87D,1960
158,131,94,99,#9E835E,1960
140,105,68,102,#8C6944,1960
54,46,26,104,#362E1A,1960
213,208,194,110,#D5D0C2,1960
255,255,255,0,#FFFFFF,1961
247,247,247,0,#F7F7F7,1961
45,45,45,104,#2D2D2D,1961
73,73,73,104,#494949,1961
105,105,105,106,#696969,1961
139,139,139,107,#8B8B8B,1961
211,211,211,110,#D3D3D3,1961
176,176,176,114,#B0B0B0,1961
13,13,13,119,#0D0D0D,1961
25,25,25,119,#191919,1961
229,232,226,1,#E5E8E2,1962
199,64,56,18,#C74038,1962
152,45,49,78,#982D31,1962
193,118,109,86,#C1766D,1962
236,184,100,90,#ECB864,1962
77,77,72,104,#4D4D48,1962
196,195,188,109,#C4C3BC,1962
148,156,152,115,#949C98,1962
119,117,107,116,#77756B,1962
32,31,27,119,#201F1B,1962
169,68,63,18,#A9443F,1963
52,112,161,41,#3470A1,1963
122,57,31,78,#7A391F,1963
204,127,39,93,#CC7F27,1963
86,80,78,103,#56504E,1963
62,39,37,104,#3E2725,1963
128,123,119,107,#807B77,1963
226,221,215,110,#E2DDD7,1963
183,175,167,114,#B7AFA7,1963
28,18,18,119,#1C1212,1963
230,234,233,1,#E6EAE9,1964
200,57,73,18,#C83949,1964
60,79,159,39,#3C4F9F,1964
121,37,25,78,#792519,1964
188,168,68,93,#BCA844,1964
51,55,53,104,#333735,1964
105,109,101,106,#696D65,1964
149,158,165,108,#959EA5,1964
209,201,186,109,#D1C9BA,1964
17,18,20,119,#111214,1964
255,255,255,0,#FFFFFF,1965
232,231,226,1,#E8E7E2,1965
129,113,103,99,#817167,1965
156,147,135,100,#9C9387,1965
99,82,71,101,#635247,1965
100,52,37,103,#643425,1965
78,42,29,104,#4E2A1D,1965
207,205,197,110,#CFCDC5,1965
181,177,166,114,#B5B1A6,1965
44,35,28,119,#2C231C,1965
233,239,74,5,#E9EF4A,1966
184,84,73,18,#B85449,1966
88,74,151,37,#584A97,1966
119,76,81,79,#774C51,1966
127,133,41,96,#7F8529,1966
158,136,117,99,#9E8875,1966
72,43,46,104,#482B2E,1966
226,218,209,110,#E2DAD1,1966
182,166,170,114,#B6A6AA,1966
33,18,18,119,#211212,1966
236,234,220,1,#ECEADC,1967
228,204,44,7,#E4CC2C,1967
212,12,36,19,#D40C24,1967
245,50,201,26,#F532C9,1967
40,94,156,52,#285E9C,1967
62,88,68,69,#3E5844,1967
141,100,89,77,#8D6459,1967
172,126,154,100,#AC7E9A,1967
217,183,175,109,#D9B7AF,1967
28,27,15,119,#1C1B0F,1967
255,255,251,0,#FFFFFB,1968
251,242,22,7,#FBF216,1968
240,140,25,10,#F08C19,1968
229,40,90,23,#E5285A,1968
96,125,151,44,#607D97,1968
19,131,216,48,#1383D8,1968
31,67,44,69,#1F432C,1968
175,146,80,94,#AF9250,1968
96,62,107,105,#603E6B,1968
222,190,182,109,#DEBEB6,1968
243,239,236,1,#F3EFEC,1969
