r,g,b,ordem,hex,completitionYear
254,249,238,0,#FEF9EE,1862
242,233,222,1,#F2E9DE,1862
56,50,49,104,#383231,1862
89,83,81,105,#595351,1862
139,132,128,107,#8B8480,1862
173,165,160,108,#ADA5A0,1862
203,195,188,109,#CBC3BC,1862
226,217,208,110,#E2D9D0,1862
111,105,103,116,#6F6967,1862
22,17,17,119,#161111,1862
241,231,222,1,#F1E7DE,1864
254,244,234,1,#FEF4EA,1864
64,59,57,104,#403B39,1864
98,92,89,106,#625C59,1864
130,124,121,107,#827C79,1864
161,153,149,108,#A19995,1864
207,200,193,109,#CFC8C1,1864
225,218,208,110,#E1DAD0,1864
186,179,173,114,#BAB3AD,1864
29,24,23,119,#1D1817,1864
230,212,150,83,#E6D496,1873
195,158,106,94,#C39E6A,1873
174,137,87,94,#AE8957,1873
224,187,122,95,#E0BB7A,1873
152,115,70,96,#987346,1873
113,81,48,101,#715130,1873
129,96,59,102,#81603B,1873
84,60,34,104,#543C22,1873
218,219,183,110,#DADBB7,1873
42,27,12,119,#2A1B0C,1873
255,248,192,2,#FFF8C0,1878
240,213,161,83,#F0D5A1,1878
169,142,100,94,#A98E64,1878
191,163,118,94,#BFA376,1878
215,186,137,95,#D7BA89,1878
147,121,84,96,#937954,1878
121,98,66,97,#796242,1878
91,71,45,103,#5B472D,1878
60,42,22,104,#3C2A16,1878
21,11,4,119,#150B04,1878
241,234,223,1,#F1EADF,1879
233,199,107,90,#E9C76B,1879
182,150,48,93,#B69630,1879
117,82,23,101,#755217,1879
58,52,51,104,#3A3433,1879
93,85,82,105,#5D5552,1879
130,121,116,107,#827974,1879
170,160,154,108,#AAA09A,1879
207,193,182,109,#CFC1B6,1879
38,27,20,119,#261B14,1879
247,246,247,0,#F7F6F7,1880
146,116,92,99,#92745C,1880
178,160,146,100,#B2A092,1880
95,79,65,103,#5F4F41,1880
61,54,47,104,#3D362F,1880
140,140,142,107,#8C8C8E,1880
203,190,180,109,#CBBEB4,1880
215,213,215,110,#D7D5D7,1880
105,107,109,116,#696B6D,1880
23,27,28,119,#171B1C,1880
187,150,93,94,#BB965D,1881
214,189,136,95,#D6BD88,1881
103,94,80,98,#675E50,1881
140,126,104,99,#8C7E68,1881
172,160,142,100,#ACA08E,1881
136,97,53,102,#886135,1881
76,62,48,104,#4C3E30,1881
207,195,177,109,#CFC3B1,1881
232,226,208,110,#E8E2D0,1881
38,29,23,119,#261D17,1881
187,157,102,94,#BB9D66,1882
222,197,141,95,#DEC58D,1882
153,112,63,96,#99703F,1882
131,125,109,99,#837D6D,1882
102,92,75,101,#665C4B,1882
71,59,46,104,#473B2E,1882
164,157,144,108,#A49D90,1882
198,192,179,109,#C6C0B3,1882
232,226,210,110,#E8E2D2,1882
31,25,19,119,#1F1913,1882
187,161,103,94,#BBA167,1883
219,198,151,95,#DBC697,1883
148,115,69,96,#947345,1883
88,76,62,103,#584C3E,1883
57,46,37,104,#392E25,1883
109,110,97,106,#6D6E61,1883
146,145,131,107,#929183,1883
225,221,212,110,#E1DDD4,1883
184,182,176,113,#B8B6B0,1883
24,17,13,119,#18110D,1883
236,235,224,1,#ECEBE0,1884
184,137,75,94,#B8894B,1884
190,172,133,95,#BEAC85,1884
122,106,80,97,#7A6A50,1884
147,135,114,99,#938772,1884
137,82,35,102,#895223,1884
90,76,55,103,#5A4C37,1884
64,49,33,104,#403121,1884
216,205,174,109,#D8CDAE,1884
29,19,13,119,#1D130D,1884
216,182,115,95,#D8B673,1885
176,127,70,96,#B07F46,1885
118,109,85,97,#766D55,1885
162,149,119,100,#A29577,1885
127,83,44,102,#7F532C,1885
81,66,48,104,#514230,1885
55,40,27,104,#37281B,1885
193,186,165,109,#C1BAA5,1885
226,220,192,110,#E2DCC0,1885
26,16,11,119,#1A100B,1885
67,96,117,40,#436075,1886
151,71,32,78,#974720,1886
185,135,65,93,#B98741,1886
203,179,125,95,#CBB37D,1886
112,98,67,97,#706243,1886
146,134,105,99,#928669,1886
74,57,41,104,#4A3929,1886
162,169,167,108,#A2A9A7,1886
225,217,190,110,#E1D9BE,1886
31,21,16,119,#1F1510,1886
104,109,90,75,#686D5A,1887
207,169,84,88,#CFA954,1887
206,189,143,95,#CEBD8F,1887
168,122,57,96,#A87A39,1887
153,143,109,99,#998F6D,1887
125,77,37,102,#7D4D25,1887
74,70,51,104,#4A4633,1887
215,214,194,110,#D7D6C2,1887
135,161,169,115,#87A1A9,1887
42,29,18,119,#2A1D12,1887
210,176,72,93,#D2B048,1888
213,201,149,95,#D5C995,1888
171,113,45,96,#AB712D,1888
126,122,76,97,#7E7A4C,1888
161,159,118,100,#A19F76,1888
86,76,47,103,#564C2F,1888
220,224,210,110,#DCE0D2,1888
142,171,181,114,#8EABB5,1888
84,107,121,116,#546B79,1888
36,34,23,119,#242217,1888
75,106,141,41,#4B6A8D,1889
106,114,82,75,#6A7252,1889
187,148,61,93,#BB943D,1889
208,188,110,95,#D0BC6E,1889
144,147,117,99,#909375,1889
141,100,40,102,#8D6428,1889
74,71,46,104,#4A472E,1889
218,219,194,110,#DADBC2,1889
154,177,174,114,#9AB1AE,1889
34,31,19,119,#221F13,1889
77,108,142,41,#4D6C8E,1890
144,146,93,74,#90925D,1890
99,109,64,75,#636D40,1890
200,171,70,93,#C8AB46,1890
204,194,135,95,#CCC287,1890
156,102,38,96,#9C6626,1890
65,68,40,104,#414428,1890
216,219,201,110,#D8DBC9,1890
147,167,165,115,#93A7A5,1890
27,27,15,119,#1B1B0F,1890
